Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names
Series A - LogRocket,https://www.crunchbase.com/funding_round/logrocket-series-a--824e6e78,LogRocket,https://www.crunchbase.com/organization/logrocket,Series A,11000000,USD,11000000,2019-03-21,"Battery Ventures, Matrix Partners"
Venture Round - Xaptum,https://www.crunchbase.com/funding_round/xaptum-series-unknown--d67f5589,Xaptum,https://www.crunchbase.com/organization/xaptum,Venture - Series Unknown,3100000,USD,3100000,2018-10-01,"Alumni Ventures Group, ArchVentures SA, Casey Cowell, HPA, Illinois Ventures, LOUD Capital, Michael Seedman, Purple Arch Ventures, Total Access Fund, VCapital"
Series A - Salt Security,https://www.crunchbase.com/funding_round/saltsecurity-series-a--ed2ab878,Salt Security,https://www.crunchbase.com/organization/saltsecurity,Series A,10000000,USD,10000000,2019-01-29,"Kevin Mahaffey, Marius Nacht, S Capital"
Series A - Cognigo,https://www.crunchbase.com/funding_round/cognigo-series-a--92e8d875,Cognigo,https://www.crunchbase.com/organization/cognigo,Series A,8500000,USD,8500000,2018-11-13,"Mitvah Shamir, OurCrowd, Prosegur, State of Mind Ventures"
"Seed Round - Monarx, Inc.",https://www.crunchbase.com/funding_round/monarx-inc-seed--41ec6b73,"Monarx, Inc.",https://www.crunchbase.com/organization/monarx-inc,Seed,3900000,USD,3900000,2019-02-20,"Crosscut Ventures, Kickstart Seed Fund, Pelion Venture Partners"
Series A - Alcide,https://www.crunchbase.com/funding_round/alcide-series-a--043e5bce,Alcide,https://www.crunchbase.com/organization/alcide,Series A,7000000,USD,7000000,2018-11-19,"CE Ventures (CEIIF), Elron Electronic Industries, Intel Capital"
Series A - Bishop Fox,https://www.crunchbase.com/funding_round/bishop-fox-series-a--e7c337de,Bishop Fox,https://www.crunchbase.com/organization/bishop-fox,Series A,25000000,USD,25000000,2019-02-26,ForgePoint Capital
Series C - Arctic Wolf Networks,https://www.crunchbase.com/funding_round/arctic-wolf-networks-series-c--d30eec98,Arctic Wolf Networks,https://www.crunchbase.com/organization/arctic-wolf-networks,Series C,45000000,USD,45000000,2018-10-25,"Adams Street Partners, Future Fund, Knollwood Investment Advisory, Redpoint, Sonae IM, Unusual Ventures"
Seed Round - Cynerio,https://www.crunchbase.com/funding_round/cynerio-seed--9317eef7,Cynerio,https://www.crunchbase.com/organization/cynerio,Seed,7000000,USD,7000000,2019-01-09,"Accelmed, MTIP AG, RDC - Rafael Development Corporation"
Seed Round - Spare,https://www.crunchbase.com/funding_round/spare-labs-seed--38487f3d,Spare,https://www.crunchbase.com/organization/spare-labs,Seed,6000000,CAD,4480986,2019-04-30,Mitsubishi Corporation
