Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names
Venture Round - Symetrica,https://www.crunchbase.com/funding_round/symetrica-series-unknown--2a1b5490,Symetrica,https://www.crunchbase.com/organization/symetrica,Venture - Series Unknown,3000000,GBP,3769881,2019-06-18,"Albion Capital Group, Nesta, Parkwalk Advisors, Technology Venture Partners US, Tennant Capital Partners"
Series A - Edgewise Networks,https://www.crunchbase.com/funding_round/edgewise-networks-series-a--6ef85d35,Edgewise Networks,https://www.crunchbase.com/organization/edgewise-networks,Series A,11000000,USD,11000000,2019-06-11,".406 Ventures, Accomplice, Pillar Ventures"
Series B - SynapseFI,https://www.crunchbase.com/funding_round/synapsefi-series-b--0b93d4dc,SynapseFI,https://www.crunchbase.com/organization/synapsefi,Series B,33000000,USD,33000000,2019-06-06,"9Yards Capital, Andreessen Horowitz, Core Innovation Capital, Trinity Ventures"
Series D - SecurityScorecard,https://www.crunchbase.com/funding_round/security-scorecard-series-d--32295046,SecurityScorecard,https://www.crunchbase.com/organization/security-scorecard,Series D,50000000,USD,50000000,2019-06-13,"Accomplice, AXA Venture Partners, Evolution Equity Partners, Intel Capital, Riverwood Capital, Two Sigma Ventures"
Private Equity Round - Critical Start,https://www.crunchbase.com/funding_round/critical-start-private-equity--b5ec90fa,Critical Start,https://www.crunchbase.com/organization/critical-start,Private Equity,40000000,USD,40000000,2019-06-12,Bregal Sagemount
Seed Round - Hut Six Security,https://www.crunchbase.com/funding_round/hut-six-security-seed--8d7117a0,Hut Six Security,https://www.crunchbase.com/organization/hut-six-security,Seed,450000,GBP,563458,2019-07-11,"Development Bank of Wales, The Waterloo Foundation, The Welsh Government, Wesley Clover"
Series A - Voatz,https://www.crunchbase.com/funding_round/voatz-series-a--52074297,Voatz,https://www.crunchbase.com/organization/voatz,Series A,7000000,USD,7000000,2019-06-06,"Medici Ventures, Oakhouse Partners, Techstars, Urban Innovation Fund"
Seed Round - Securicy,https://www.crunchbase.com/funding_round/securicy-seed--f144765e,Securicy,https://www.crunchbase.com/organization/securicy,Seed,1200000,USD,1200000,2019-07-09,"Concrete Ventures, Hub Angels Investment Group, Innovacorp, Panache Ventures"
Series D - SentinelOne,https://www.crunchbase.com/funding_round/sentinel-series-d--bf139ad0,SentinelOne,https://www.crunchbase.com/organization/sentinel,Series D,120000000,USD,120000000,2019-06-05,"Data Collective DCVC, Granite Hill Capital Partners, Insight Partners, NextEquity Partners, Redpoint, Samsung Venture Investment, SineWave Ventures, Sound Ventures, Third Point Ventures, Tiger Global Management"
Pre Seed Round - Defendify,https://www.crunchbase.com/funding_round/defendify-pre-seed--e80a5228,Defendify,https://www.crunchbase.com/organization/defendify,Pre-Seed,1600000,USD,1600000,2019-06-19,"3dot6 Ventures, Maine Technology Institute"
Series A - Text IQ,https://www.crunchbase.com/funding_round/text-iq-series-a--dddead74,Text IQ,https://www.crunchbase.com/organization/text-iq,Series A,12600000,USD,12600000,2019-06-18,"FirstMark, Sierra Ventures"
Series E - UltraSoC Technologies,https://www.crunchbase.com/funding_round/ultrasoc-series-e--ed2f894b,UltraSoC Technologies,https://www.crunchbase.com/organization/ultrasoc,Series E,5000000,GBP,6369329,2019-06-24,"eCAPITAL entrepreneurial Partners AG, Guillaume d'Eyssautier, Indaco Venture Partners, Octopus Ventures, Oxford Capital Partners, Seraphim Capital, Techgate"
"Series C - Valimail, Inc.",https://www.crunchbase.com/funding_round/valimail-series-c--f065b3af,"Valimail, Inc.",https://www.crunchbase.com/organization/valimail,Series C,45000000,USD,45000000,2019-06-19,Insight Partners
Series D - Cloudwise,https://www.crunchbase.com/funding_round/cloudwise-2-series-d--00d9c074,Cloudwise,https://www.crunchbase.com/organization/cloudwise-2,Series D,25000000,USD,25000000,2019-06-10,"Sequoia Capital China, Tsing Ventures, WestSummit Capital, Xiaochang Shuimu Investment"
Pre Seed Round - Alias Robotics,https://www.crunchbase.com/funding_round/alias-robotics-pre-seed--3045cb7d,Alias Robotics,https://www.crunchbase.com/organization/alias-robotics,Pre-Seed,750000,EUR,841762,2019-06-17,Baron Capital Management
Series D - Dashlane,https://www.crunchbase.com/funding_round/dashlane-series-d--82933e14,Dashlane,https://www.crunchbase.com/organization/dashlane,Series D,110000000,USD,110000000,2019-05-30,"Bessemer Venture Partners, FirstMark, Rho Ventures, Sequoia Capital"
Series A - Upsie,https://www.crunchbase.com/funding_round/upsie-series-a--15da246a,Upsie,https://www.crunchbase.com/organization/upsie,Series A,5000000,USD,5000000,2019-05-28,"M25, Marc Belton, Matchstick Ventures, Techstars Ventures, The Syndicate Fund, True Ventures"
Series C - River Security,https://www.crunchbase.com/funding_round/river-security-series-c--57fabc63,River Security,https://www.crunchbase.com/organization/river-security,Series C,100000000,CNY,14548628,2019-07-19,Legend Capital
Series A - Cylus,https://www.crunchbase.com/funding_round/cylus-series-a--f1dd474d,Cylus,https://www.crunchbase.com/organization/cylus,Series A,12000000,USD,12000000,2019-06-06,"Cerca Partners, Cyient, Magma Venture Partners, Vertex Ventures, Vertex Ventures Israel"
Seed Round - VComply,https://www.crunchbase.com/funding_round/vcomply-seed--61ec7928,VComply,https://www.crunchbase.com/organization/vcomply,Seed,2500000,USD,2500000,2019-07-19,Accel
Grant - UltraSoC Technologies,https://www.crunchbase.com/funding_round/ultrasoc-grant--6277465e,UltraSoC Technologies,https://www.crunchbase.com/organization/ultrasoc,Grant,2000000,GBP,2509630,2019-07-19,Innovate UK
