Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names
Pre Seed Round - Agroninja,https://www.crunchbase.com/funding_round/agroninja-kft-2030-pre-seed--9e2624d2,Agroninja,https://www.crunchbase.com/organization/agroninja-kft-2030,Pre-Seed,15000,EUR,17717,2017-08-21,Hiventures Investment Fund
Seed Round - VIDA,https://www.crunchbase.com/funding_round/solidx-partners-seed--d85b3158,VIDA,https://www.crunchbase.com/organization/solidx-partners,Seed,3200000,USD,3200000,2017-07-24,
Series B - Morphisec,https://www.crunchbase.com/funding_round/morphisec-series-b--7724468a,Morphisec,https://www.crunchbase.com/organization/morphisec,Series B,12000000,USD,12000000,2018-02-19,"Deutsche Telekom, General Electric (GE), Jerusalem Venture Partners (JVP), Orange Digital Ventures"
Seed Round - LUXLOCK,https://www.crunchbase.com/funding_round/luxlock-seed--f5ed609a,LUXLOCK,https://www.crunchbase.com/organization/luxlock,Seed,98500,USD,98500,2017-11-01,"Carl Pate, David Kemper"
Series B - QuintessenceLabs,https://www.crunchbase.com/funding_round/quintessencelabs-series-b--aec67b11,QuintessenceLabs,https://www.crunchbase.com/organization/quintessencelabs,Series B,7473410,AUD,5866241,2017-09-27,
Series A - Kevlara,https://www.crunchbase.com/funding_round/kevlara-series-a--b63e8c7b,Kevlara,https://www.crunchbase.com/organization/kevlara,Series A,800000,USD,800000,2018-04-15,
Seed Round - NS8,https://www.crunchbase.com/funding_round/ns8-inc-seed--30a33080,NS8,https://www.crunchbase.com/organization/ns8-inc,Seed,7500000,USD,7500000,2017-11-20,"Arbor Ventures, Hanna Ventures, TDF Ventures"
Series D - Anomali,https://www.crunchbase.com/funding_round/threatstream-series-d--1dbdb9bf,Anomali,https://www.crunchbase.com/organization/threatstream,Series D,40000000,USD,40000000,2018-01-17,"Deutsche Telekom Capital Partners, General Catalyst, GV, IVP (Institutional Venture Partners), Lumia Capital, Paladin Capital Group, Sozo Ventures, Telstra Ventures"
Grant - Signicat,https://www.crunchbase.com/funding_round/signicat-grant--712481bf,Signicat,https://www.crunchbase.com/organization/signicat,Grant,1600000,EUR,1982622,2018-01-25,Horizon 2020
Post-IPO Equity - Mimecast,https://www.crunchbase.com/funding_round/mimecast-post-ipo-equity--54d96dc6,Mimecast,https://www.crunchbase.com/organization/mimecast,Post-IPO Equity,403000,USD,403000,2017-10-31,ATL Partners
Seed Round - SoT - Security of Things,https://www.crunchbase.com/funding_round/sot-security-of-things-seed--faef535f,SoT - Security of Things,https://www.crunchbase.com/organization/sot-security-of-things,Seed,,,,2018-01-01,
Grant - 2Keys,https://www.crunchbase.com/funding_round/2keys-grant--a106516b,2Keys,https://www.crunchbase.com/organization/2keys,Grant,,,,2017-11-09,Ontario Centres of Excellence
Grant - Voatz,https://www.crunchbase.com/funding_round/voatz-grant--ffa19e00,Voatz,https://www.crunchbase.com/organization/voatz,Grant,50000,USD,50000,2017-11-02,MassChallenge
Venture Round - Pcysys,https://www.crunchbase.com/funding_round/pcysys-series-unknown--33667811,Pcysys,https://www.crunchbase.com/organization/pcysys,Venture - Series Unknown,4500000,USD,4500000,2018-01-30,Awz Ventures
Private Equity Round - Rain,https://www.crunchbase.com/funding_round/rain-south-africa-private-equity--9b286fe1,Rain,https://www.crunchbase.com/organization/rain-south-africa,Private Equity,,,,2017-07-31,African Rainbow Capital
Private Equity Round - SecureAuth,https://www.crunchbase.com/funding_round/secureauth-private-equity--7d93d043,SecureAuth,https://www.crunchbase.com/organization/secureauth,Private Equity,200000000,USD,200000000,2017-09-20,"K1 Investment Management, Toba Capital"
Post-IPO Equity - Kyckr Limited,https://www.crunchbase.com/funding_round/kyckr-post-ipo-equity--b8377fc7,Kyckr Limited,https://www.crunchbase.com/organization/kyckr,Post-IPO Equity,2000000,AUD,1560570,2017-10-11,
Debt Financing - neXus,https://www.crunchbase.com/funding_round/nexus-3-debt-financing--cb4b2f85,neXus,https://www.crunchbase.com/organization/nexus-3,Debt Financing,29000000,EUR,34445241,2017-12-20,European Investment Bank (EIB)
"Venture Round - FSA Technologies, Inc.",https://www.crunchbase.com/funding_round/fsa-technologies-series-unknown--bc16e040,"FSA Technologies, Inc.",https://www.crunchbase.com/organization/fsa-technologies,Venture - Series Unknown,400000,USD,400000,2018-03-26,
Seed Round - Noonlight,https://www.crunchbase.com/funding_round/safetrek-seed--65f5b67f,Noonlight,https://www.crunchbase.com/organization/safetrek,Seed,4200000,USD,4200000,2017-08-30,"Aspect Ventures, Cliff Holekamp, Cultivation Capital, Maveron, New Enterprise Associates, Service Provider Capital"
Venture Round - Aras,https://www.crunchbase.com/funding_round/aras-series-unknown--b8dc2947,Aras,https://www.crunchbase.com/organization/aras,Venture - Series Unknown,40000000,USD,40000000,2017-09-06,"GE Ventures, Silver Lake Kraftwerk"
Grant - Prosa Security,https://www.crunchbase.com/funding_round/prosa-security-grant--d734ae92,Prosa Security,https://www.crunchbase.com/organization/prosa-security,Grant,50000,EUR,62554,2018-02-01,EASME - EU Executive Agency for SMEs
Funding Round - WhoFinder.com,https://www.crunchbase.com/funding_round/whofinder-com-undisclosed--8672436e,WhoFinder.com,https://www.crunchbase.com/organization/whofinder-com,Funding Round,,,,2017-12-20,
Series E - TableSafe,https://www.crunchbase.com/funding_round/viableware-series-e--7f6b2270,TableSafe,https://www.crunchbase.com/organization/viableware,Series E,5830739,USD,5830739,2017-10-11,
Series A - Securonix,https://www.crunchbase.com/funding_round/securonix-inc--series-a--39393866,Securonix,https://www.crunchbase.com/organization/securonix-inc-,Series A,29000000,USD,29000000,2017-09-20,"Eight Roads Ventures, Volition Capital"
Seed Round - Anjuna,https://www.crunchbase.com/funding_round/anjuna-seed--79b8b64d,Anjuna,https://www.crunchbase.com/organization/anjuna,Seed,120000,USD,120000,2018-01-04,Y Combinator
Seed Round - Wildfire5g,https://www.crunchbase.com/funding_round/wildfire5g-seed--a1512cf9,Wildfire5g,https://www.crunchbase.com/organization/wildfire5g,Seed,432500,USD,432500,2017-09-20,
Series C - Digital Shadows,https://www.crunchbase.com/funding_round/digital-shadows-series-c--236b26b6,Digital Shadows,https://www.crunchbase.com/organization/digital-shadows,Series C,26000000,USD,26000000,2017-09-20,"Octopus Ventures, World Innovation Lab (WiL)"
Seed Round - Verifyoo,https://www.crunchbase.com/funding_round/verifyoo-seed--9de62452,Verifyoo,https://www.crunchbase.com/organization/verifyoo,Seed,460000,USD,460000,2017-09-01,
Private Equity Round - SecureLink,https://www.crunchbase.com/funding_round/securelink-us-private-equity--e9d8c3e2,SecureLink,https://www.crunchbase.com/organization/securelink-us,Private Equity,,,,2017-08-16,Vista Equity Partners
Series A - Tethr,https://www.crunchbase.com/funding_round/collabip-series-a--557c5523,Tethr,https://www.crunchbase.com/organization/collabip,Series A,15000000,USD,15000000,2017-10-24,"Grotech Ventures, MissionOG"
Series A - Insight Engines,https://www.crunchbase.com/funding_round/insight-engines-inc-series-a--2c0b8d95,Insight Engines,https://www.crunchbase.com/organization/insight-engines-inc,Series A,15800000,USD,15800000,2017-07-20,"August Capital, Data Collective DCVC, Erik Swan, Greg Martin, Real Ventures, Simon Crosby, Splunk"
Seed Round - PolySign,https://www.crunchbase.com/funding_round/polysign-seed--635cf2ac,PolySign,https://www.crunchbase.com/organization/polysign,Seed,,,,2018-04-01,"CRCM Ventures, Kilowatt Capital LLC"
Convertible Note - Harbor,https://www.crunchbase.com/funding_round/harbor-pension-convertible-note--183fdd34,Harbor,https://www.crunchbase.com/organization/harbor-pension,Convertible Note,100000,USD,100000,2017-07-14,"Right Side Capital Management, Techstars, Techstars Chicago (Formerly Excelerate Labs)"
Private Equity Round - eSentire,https://www.crunchbase.com/funding_round/esentire-private-equity--30fdc0bd,eSentire,https://www.crunchbase.com/organization/esentire,Private Equity,,,,2017-08-21,Warburg Pincus
Series E - Instart,https://www.crunchbase.com/funding_round/instart-logic-series-e--25d7d1a1,Instart,https://www.crunchbase.com/organization/instart-logic,Series E,30000000,USD,30000000,2017-11-02,ST Telemedia
Series A - Luminate Security,https://www.crunchbase.com/funding_round/luminate-security-series-a--28450502,Luminate Security,https://www.crunchbase.com/organization/luminate-security,Series A,11000000,USD,11000000,2018-03-14,"Aleph, U.S. Venture Partners (USVP)"
Seed Round - Overhaul,https://www.crunchbase.com/funding_round/overhaul-seed--197ef74c,Overhaul,https://www.crunchbase.com/organization/overhaul,Seed,4500000,USD,4500000,2017-12-07,Abbey International Finance
