site,BreachDate,Domain,PwnCount,DataClasses
Estonia,2018-06-07,,655161,"['Email addresses', 'Passwords']"
eThekwiniMunicipality,2016-09-07,eservices.durban.gov.za,81830,"['Dates of birth', 'Deceased date', 'Email addresses', 'Genders', 'Government issued IDs', 'Names', 'Passport numbers', 'Passwords', 'Phone numbers', 'Physical addresses', 'Utility bills']"
Ethereum,2016-12-16,ethereum.org,16431,"['Email addresses', 'IP addresses', 'Passwords', 'Private messages', 'Usernames', 'Website activity']"
Evermotion,2015-05-07,evermotion.org,435510,"['Dates of birth', 'Email addresses', 'Passwords', 'Usernames']"
EverybodyEdits,2019-03-23,everybodyedits.com,871190,"['Email addresses', 'IP addresses', 'Usernames']"
Evony,2016-06-01,evony.com,29396116,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
Exactis,2018-06-01,exactis.com,131577763,"['Credit status information', 'Dates of birth', 'Education levels', 'Email addresses', 'Ethnicities', 'Family structure', 'Financial investments', 'Genders', 'Home ownership statuses', 'Income levels', 'IP addresses', 'Marital statuses', 'Names', 'Net worths', 'Occupations', 'Personal interests', 'Phone numbers', 'Physical addresses', 'Religions', 'Spoken languages']"
Experian,2015-09-16,experian.com,7196890,"['Credit status information', 'Dates of birth', 'Email addresses', 'Ethnicities', 'Family structure', 'Genders', 'Home ownership statuses', 'Income levels', 'IP addresses', 'Names', 'Phone numbers', 'Physical addresses', 'Purchasing habits']"
ExploitIn,2016-10-13,,593427119,"['Email addresses', 'Passwords']"
VINs,2017-06-05,,396650,"['Dates of birth', 'Email addresses', 'Family structure', 'Genders', 'Names', 'Phone numbers', 'Physical addresses', 'Vehicle details']"
EyeEm,2018-02-28,eyeem.com,19611022,"['Bios', 'Email addresses', 'Names', 'Passwords', 'Usernames']"
Facepunch,2016-06-03,facepunch.com,342913,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
FaceUP,2013-01-01,faceup.dk,87633,"['Dates of birth', 'Email addresses', 'Genders', 'Names', 'Passwords', 'Phone numbers', 'Usernames']"
WhiteRoom,2018-07-09,fashionnexus.co.uk,1279263,"['Browser user agent details', 'Dates of birth', 'Email addresses', 'Genders', 'IP addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'Purchases']"
FashionFantasyGame,2016-12-01,fashionfantasygame.com,2357872,"['Email addresses', 'Passwords']"
FFShrine,2015-09-18,ffshrine.org,620677,"['Email addresses', 'Passwords', 'Usernames', 'Website activity']"
FlashFlashRevolution,2016-02-01,flashflashrevolution.com,1771845,"['Email addresses', 'Passwords', 'Usernames']"
Flashback,2015-02-11,flashback.se,40256,"['Email addresses', 'Government issued IDs', 'Physical addresses']"
Fling,2011-03-10,fling.com,40767652,"['Dates of birth', 'Email addresses', 'Genders', 'Geographic locations', 'IP addresses', 'Passwords', 'Phone numbers', 'Sexual fetishes', 'Sexual orientations', 'Usernames', 'Website activity']"
FLVS,2018-02-12,flvs.net,542902,"['Dates of birth', 'Email addresses', 'Names', 'Passwords', 'School grades (class levels)', 'Usernames']"
Forbes,2014-02-15,forbes.com,1057819,"['Email addresses', 'Passwords', 'User website URLs', 'Usernames']"
ForumCommunity,2016-06-01,forumcommunity.net,776648,"['Email addresses', 'Passwords', 'Usernames']"
FoxyBingo,2008-04-04,foxybingo.com,252216,"['Account balances', 'Browser user agent details', 'Dates of birth', 'Email addresses', 'Genders', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses', 'Usernames', 'Website activity']"
FreedomHostingII,2017-01-31,fhostingesps6bly.onion,380830,"['Email addresses', 'Passwords', 'Usernames']"
FreshMenu,2016-07-01,freshmenu.com,110355,"['Device information', 'Email addresses', 'Names', 'Phone numbers', 'Physical addresses', 'Purchases']"
Fridae,2014-05-02,fridae.asia,35368,"['Email addresses', 'Passwords', 'Usernames', 'Website activity']"
Funimation,2016-07-01,funimation.com,2491103,"['Dates of birth', 'Email addresses', 'Passwords', 'Usernames']"
FunnyGames,2018-04-28,funny-games.biz,764357,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
FurAffinity,2016-05-17,furaffinity.net,1270564,"['Email addresses', 'Passwords', 'Usernames']"
Gaadi,2015-05-14,gaadi.com,4261179,"['Email addresses', 'Genders', 'Geographic locations', 'IP addresses', 'Names', 'Passwords', 'Phone numbers', 'Usernames']"
GamerzPlanet,2015-10-23,gamerzplanet.net,1217166,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
GameTuts,2015-03-01,game-tuts.com,2064274,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
Gamigo,2012-03-01,gamigo.com,8243604,"['Email addresses', 'Passwords']"
Gawker,2010-12-11,gawker.com,1247574,"['Email addresses', 'Passwords', 'Usernames']"
GeekedIn,2016-08-15,geekedin.net,1073164,"['Email addresses', 'Geographic locations', 'Names', 'Professional skills', 'Usernames', 'Years of professional experience']"
GFAN,2016-10-10,gfan.com,22526334,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
