ID,organization,state,industry,exposure,records
ITRC20170303-11,EquianLLC (Feb),IN,Business,Yes - Unknown #,Unknown
ITRC20170303-13,Fresh Formats LLC,MA,Business,Yes - Published ,581
ITRC20170303-14,Genocea,MA,Business,Yes - Unknown ,Unknown
ITRC20170306-01,Weidenhammer,PA,Business,Yes - Published ,180
ITRC20170307-06,Onyx GraphicsInc.,UT,Business,Yes - Unknown #,Unknown
ITRC20170308-01,Friedman & PerryCPAs,CA,Business,Yes - Published #,3939
ITRC20170310-01,Verifone,CA,Business,Yes - Published ,232
ITRC20170310-03,Wall Titus,FL,Business,Yes - Published ,1442
ITRC20170310-04,Maxim Capital Enterprises,NY,Business,Yes - Unknown ,Unknown
ITRC20170310-05,Ilovekickboxing.com (ILKB),NY,Business,Yes - Published ,26362
ITRC20170310-07,Joseph-Beth / Booksellers Enterprises LLC,OH,Business,Yes - Published ,483
ITRC20170310-09,PCA Skin,AZ,Business,Yes - Unknown ,Unknown
ITRC20170310-10,Dawson Technical,TN,Business,Yes - Published ,500
ITRC20170310-11,Kettle Cuisine,MA,Business,Yes - Published ,351
ITRC20170310-12,Principal Financial Group,IA,Banking/Credit/Financial,Yes - Published ,1094
ITRC20170310-13,Roxy Trading / Chimes,CA,Business,Yes - Published ,443
ITRC20170310-14,RC Andersen Construction & ConsultingLLC,NJ,Business,Yes - Unknown #,Unknown
ITRC20170310-15,Sallie Mae,DE,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170310-16,VT Group,VA,Business,Yes - Published ,7359
ITRC20170310-17,David Barton Gym (Club Ventures),NY,Business,Yes - Unknown ,Unknown
ITRC20170310-18,St. Francis Animal Hospital,NV,Business,Yes - Unknown ,Unknown
ITRC20170313-04,Hutchinson and Bloodgood LLP,CA,Business,Yes - Published ,25558
ITRC20170314-01,Ondracek & Company,CA,Business,Yes - Published ,1791
ITRC20170314-03,BBB Industries,AL,Business,Yes - Published ,444
ITRC20170316-01,Dun & Bradstreet / NetProspex,NJ,Business,Yes - Unknown ,Unknown
ITRC20170316-02,NSC Technologies,VA,Business,Yes - Unknown ,Unknown
ITRC20170316-03,Geokinetics,TX,Business,Yes - Published ,709
ITRC20170317-01,Classic Tax,IA,Business,Yes - Published ,240
ITRC20170317-02,Wishbone App,CA,Business,Yes - Unknown ,Unknown
